CU,CHILD CU,STOCK CODE,QTY,,,,,,,,,,,,,,
11ABC/CSUA,,000012783,1.00,,,,,,,,,,,,,,
11ABC/CSUA,,000006487,4.00,,,,,,,,,,,,,,
11ABC/CT,,002401190,0.50,,,,,,,,,,,,,,
11ABC/CT,,000000907,1.00,,,,,,,,,,,,,,
11ABC/CT,,000001046,1.00,,,,,,,,,,,,,,
11ABC/CT,,000006259,1.00,,,,,,,,,,,,,,
11ABC/CT,,000006443,1.00,,,,,,,,,,,,,,
11ABC/CT,,000006484,1.00,,,,,,,,,,,,,,
11ABC/CT,,000012783,1.00,,,,,,,,,,,,,,
11ABC/CT,,000022520,1.00,,,,,,,,,,,,,,
11ABC/CT,,000006487,2.00,,,,,,,,,,,,,,
11ABC/CTRS,,000002475,0.00,,,,,,,,,,,,,,
11ABC/CTRS,,002401190,0.50,,,,,,,,,,,,,,
11ABC/CTRS,,000000907,1.00,,,,,,,,,,,,,,
11ABC/CTRS,,000001046,1.00,,,,,,,,,,,,,,
11ABC/CTRS,,000006259,1.00,,,,,,,,,,,,,,
11ABC/CTRS,,000012778,1.00,,,,,,,,,,,,,,
11ABC/CTRS,,000012783,1.00,,,,,,,,,,,,,,
11ABC/CTRS,,000002482,2.00,,,,,,,,,,,,,,
11ABC/CTRS,,000006443,2.00,,,,,,,,,,,,,,
11ABC/CTRS,,000006484,2.00,,,,,,,,,,,,,,
11ABC/CTRS,,000006487,4.00,,,,,,,,,,,,,,
11ABC/CTRS,,000022520,4.00,,,,,,,,,,,,,,
11ABC/CTRT,,000002475,0.00,,,,,,,,,,,,,,
11ABC/CTRT,,002401190,0.50,,,,,,,,,,,,,,
11ABC/CTRT,,000000907,1.00,,,,,,,,,,,,,,
11ABC/CTRT,,000001046,1.00,,,,,,,,,,,,,,
11ABC/CTRT,,000002482,1.00,,,,,,,,,,,,,,
11ABC/CTRT,,000006259,1.00,,,,,,,,,,,,,,
11ABC/CTRT,,000012783,1.00,,,,,,,,,,,,,,
11ABC/CTRT,,000022520,1.00,,,,,,,,,,,,,,
11ABC/CTRT,,000006443,2.00,,,,,,,,,,,,,,
